Название,Жанр,Режиссер,Страна,Год,Рейтинг IMDB
9 душ,фильм-драма,Тосиаки Тоёда,Япония,2003,7.1
…и передайте привет ласточкам,,Яромил Йиреш,Чехословакия,1972,6.8
…а пятый всадник – Страх,,Збынек Брыных,Чехословакия,1965,7.2
8 подруг Оушена,"кинокомедия,криминальный фильм",Гэри Росс,США,2018,6.3
9 апреля,,Рони Эзра,Дания,2015,6.6
8 лучших свиданий,"комедия,мелодрама",Марюс Вайсберг,"Россия,Украина",2016,3.9
8-битное Рождество,комедия,Майкл Даус,США,2021,6.7
7:35 утра,"короткометражный,музыкальный",Начо Вигалондо,"Испания,[,]",2010,7.3
8 женщин,"мюзикл,комедия,детектив",Франсуа Озон,"Франция,Италия",2002,7.0
8 первых свиданий,"мелодрама,комедия","Дэвид Додсон,Александр Маляревский","Россия,Украина",2012,6.0
8 миллиметров,"триллер,криминал",Джоэл Шумахер,"США,Германия",1999,6.6
8 ½ $,комедийный фильм,Григорий Константинопольский,Россия,1999,6.4
42 / Номер 42,"драма,спортивный фильм",Брайан Хелгеленд,"США,[,],[,]",2013,7.5
007: Спектр,шпионский фильм,Сэм Мендес,"Великобритания,США",2015,6.8
?,"драматический фильм,[,]","Ханун Брамантйо,[,]",Индонезия,2011,7.0
Авраам: Хранитель веры,драма,Джозеф Сарджент,"США,Италия,Великобритания",1994,7.0
Алая буква,драматический фильм,"Джозеф В. Смайли,Джордж Лоан Такер",США,1911,7.5
40 дней и 40 ночей,кинокомедия,Майкл Леманн,США,2002,5.6
8 свиданий,Романтическая кинокомедия,,Испания,2008,6.0
40-я дверь,драма,Эльчин Мусаоглу,Азербайджан,2009,7.9
42-я улица,"комедия,мюзикл,мелодрама","Ллойд Бэкон,Басби Беркли",США,1933,7.3
Алая буква,драма,Виктор Шёстрём,США,1926,7.6
Аннушка,драма,Борис Барнет,СССР,1959,6.1
Аноним,фильм-биография,Роланд Эммерих,"Германия,Великобритания,США",2011,6.8
Анон,"антиутопический фильм,научно-фантастический фильм,[,],кинофантастика,фильм-триллер,[,],киберпанк",Эндрю Никкол,Великобритания,2018,6.1
Альфавиль,"антиутопический,неонуар",Жан-Люк Годар,"Италия,Франция",1965,7.0
Апокриф,"драма,короткометражный",Андрей Звягинцев,"США,Россия,Бахрейн",Не найден,6.5
Асако 1 и 2,"драматический фильм,романтический фильм",Рюсукэ Хамагути,"Япония,Франция,[,]",2018,7.0
Багдадский вор,"приключенческий фильм,семейный фильм,сказка","Людвиг Бергер,Майкл Пауэлл,Тим Уэлан",Великобритания,1940,7.4
БАгИ,драма,Андрей Богатырёв,Россия,2011,7.1
Аннычка,"драма,военный",Борис Ивченко,СССР,1968,7.5
Беслан. Память,документальный,Вадим Цаликов,Россия,2014,
Багдадский чародей,"комедийный фильм,фэнтезийный фильм",Джордж Шерман,США,1960,5.0
Аннигиляция,"научная фантастика,фильм ужасов",Алекс Гарленд,"Великобритания,США",2018,6.8
Багратион,"историко,-,биографический фильм","Гиули Чохонелидзе,Караман Мгеладзе",СССР,1985,6.5
Барышня и хулиган,драма,"Евгений Славинский,Владимир Маяковский",РСФСР,1918,6.5
Барышня и хулиган,телевизионный балет,Аполлинарий Дудко,СССР,1970,Нет рейтинга
"Асиф, Васиф, Агасиф",детский фильм,Расим Исмайлов,СССР,1983,7.7
Без тормозов,"криминал,драма",Сондра Локк,США,1997,5.1
Без сына не приходи!,"комедия,детский фильм",Радомир Василевский,СССР,1986,6.3
Без тормозов,"комедия,экшен",Николя Бенаму,"Франция,Северная Македония",2016,5.8
Белоснежка,"фантастическая,драма",Пабло Бергер,"Испания,Франция",2012,7.5
Беспечный ездок,роуд-муви,"Деннис Хоппер,[,],[,]",США,1969,7.2
Белоснежка,"фэнтези,драма,приключения",Кэролайн Томпсон,"Канада,Германия,США",Не найден,5.7
Бесноватые,фильм ужасов,Жан Роллен,"Франция,Бельгия",1974,5.0
Бескрайнее лето 2,"документальный фильм,приключения",Брюс Браун,США,1994,7.6
Бескрайняя ночь,"научная фантастика,драма,мистика",Эндрю Паттерсон,США,2019,6.7
Бич божий,драма,Олег Фиалко,СССР,1988,6.2
Бесконечный шторм,драма,"Малгожата Шумовская,Михал Энглерт",США,2022,5.3
Бич Божий,комедия,Мария Каневская,Польша,1966,6.4
Белоснежка,сказка,Зигмунд Любин,США,1902,4.6
Боевой киносборник № 7,военный фильм,"Сергей Юткевич,Леонид Альцев,А. Гендельштейн,Климентий Минц,Рафаил Перельштейн,Александр Роу",СССР,1941,6.1
Боевой киносборник № 8,военный фильм,"Леонид Луков,Николай Садкович",СССР,1942,6.6
Большое разочарование,драма,Лоуренс Кэздан,США,1983,7.1
Боевой киносборник № 6,военный,"Михаил Доллер,Всеволод Пудовкин",СССР,1941,7.4
Боевой киносборник № 11,"военный фильм,драма","Илья Трауберг,Владимир Браун,Николай Садкович,Игорь Земгано",СССР,1942,6.5
Большое турне,комедия,Патрис Леконт,Франция,1996,5.9
Большое путешествие,драматический фильм,Мигел Гомиш,Португалия,2024,6.5
Бум,"комедия,мелодрама,драма","Клод Пиното,[,],[,]",Франция,1980,6.7
Большое путешествие,"комедия,приключенческий фильм",Келли Мекин,"США,Канада",1995,5.6
В долине насилия,"драма,вестерн",Тай Уэст,США,2016,6.1
В добрый час!,мелодрама,Виктор Эйсымонт,СССР,1956,7.4
Бум,комедия,Витторио Де Сика,Италия,1963,7.1
Беспечные близнецы,комедия,Давид Дхаван,Индия,1997,6.2
